"商品","ステータス","タイプ","スポンサープロダクト広告の利用資格","売上(JPY)","ROAS","コンバージョン率","インプレッション数","クリック数","クリック率  (CTR）","広告費(JPY)","平均クリック単価 (CPC)(JPY)","注文","ACOS","新規顧客の注文","新規顧客の注文比率","新規顧客の売上(JPY)","新規顧客の売上比率","ビューアブルインプレッション"
"B07RN5DNXS-F6-ONE1-992E","","","利用資格あり","0.00","0.00","0.0000","6","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RN5DSBD-9W-LC9N-P0NQ","","","利用資格あり","0.00","0.00","0.0000","21","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RNDMKL4-LW-7QAC-4VPC","","","利用資格あり","0.00","0.00","0.0000","1503","4","0.0027","50.89","12.72","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RNDPTNQ-YC-MZU6-0SLW","","","利用資格あり","0.00","0.00","0.0000","97","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RNDRCZX-P8-FVLY-MOEO","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RNDRFD3-8Q-AVCO-R7GF","","","利用資格あり","0.00","0.00","0.0000","949","4","0.0042","49.41","12.35","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RNDRGNN-RY-0PQG-6BUX","","","広告配信の利用資格なし","0.00","0.00","0.0000","775","10","0.0129","108.81","10.88","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RNDSMR4-TS-SRTW-58DX","","","利用資格あり","0.00","0.00","0.0000","488","1","0.0020","13.00","13.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RP531NV-CO-9IM4-T6OQ","","","利用資格あり","0.00","0.00","0.0000","4","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RP581QF-M5-KPD9-RB5V","","","利用資格あり","0.00","0.00","0.0000","114","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RP5CMMY-TW-JZWW-KQAK","","","利用資格あり","0.00","0.00","0.0000","22","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RP5F6PR-PR-MQFU-S8KG","","","利用資格あり","0.00","0.00","0.0000","3","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RP5RVVV-AF-0BOJ-58FU","","","利用資格あり","0.00","0.00","0.0000","44","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RP5SL37-1A-NZX0-PYW2","","","利用資格あり","0.00","0.00","0.0000","3","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RP5Y4R4-1M-UIA7-WLFP","","","利用資格あり","0.00","0.00","0.0000","39","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RP5YSYZ-KH-0RZG-S1GO","","","広告配信の利用資格なし","0.00","0.00","0.0000","109","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RP62386-A6-0POG-ZP4D","","","利用資格あり","0.00","0.00","0.0000","30","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RP68X1C-HF-W0WE-2S93","","","利用資格あり","0.00","0.00","0.0000","2","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RP6Q7SK-L7-WXI9-AW9P","","","利用資格あり","0.00","0.00","0.0000","160","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RP6WZZR-TG-10BG-Z2R9","","","利用資格あり","0.00","0.00","0.0000","3","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RP7495M-NN-HJCD-N9FE","","","広告配信の利用資格なし","0.00","0.00","0.0000","72","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RPGFKYW-MH-HDGL-UPY9","","","利用資格あり","0.00","0.00","0.0000","1907","9","0.0047","115.70","12.86","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RPGFSBX-47-VPND-OZOO","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RPGL2LF-IV-F3AS-6A46","","","利用資格あり","0.00","0.00","0.0000","388","6","0.0155","65.57","10.93","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RPGLCMB-TW-JA59-AXIP","","","利用資格あり","0.00","0.00","0.0000","689","7","0.0102","88.40","12.63","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RPJH3V7-SS-EB2Y-ZYLL","","","利用資格あり","0.00","0.00","0.0000","275","3","0.0109","39.00","13.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RQ4D55K-GX-E4TE-0RFF","","","利用資格あり","0.00","0.00","0.0000","12","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RQ4M7ZG-22-9KDS-HIZ1","","","利用資格あり","0.00","0.00","0.0000","20","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RQ4P2QP-LH-V8JE-G68U","","","利用資格あり","0.00","0.00","0.0000","4","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RQ4P48F-X9-AILJ-IY98","","","利用資格あり","0.00","0.00","0.0000","48","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
